Artist,Albums,MeanRating,MedianRating,MeanFirstImpressions,MedianFirstImpressions,Difference
Weezer,1,7.5,7.5,7.0,7.0,0.5
Lil Tecca,1,9.0,9.0,8.5,8.5,0.5
Ms. Lauryn Hill,1,8.5,8.5,8.0,8.0,0.5
Common,3,9.166666666666666,9.0,8.833333333333334,9.0,0.33333333333333215
Westside Gunn,2,8.5,8.5,8.25,8.25,0.25
Mos Def,2,9.0,9.0,8.75,8.75,0.25
Nas,3,8.666666666666666,8.5,8.5,8.5,0.16666666666666607
Injury Reserve,4,9.0,9.0,8.875,9.0,0.125
Lupe Fiasco,8,8.8125,8.75,8.75,8.75,0.0625
JPEGMAFIA,5,8.0,7.5,8.1,8.0,-0.09999999999999964
Vince Staples,4,8.25,8.25,8.5,8.5,-0.25
Joey Bada$$,2,8.0,8.0,8.25,8.25,-0.25
Rage Against The Machine,2,8.0,8.0,8.25,8.25,-0.25
Wu-Tang Clan,2,8.25,8.25,8.5,8.5,-0.25
IDK,5,8.5,8.5,8.8,8.5,-0.3000000000000007
